國文,英文,數學,社會,自然
7,11,10,15,10
12,8,6,9,8
14,14,10,12,6
10,12,12,7,7
13,13,8,11,14
7,14,15,10,15
9,13,15,6,8
7,15,6,9,13
13,6,14,14,14
12,13,9,10,11
13,13,8,6,11
8,6,14,14,8
11,10,14,8,8
12,7,12,15,13
15,7,11,14,6
10,6,8,14,6
11,11,6,13,15
7,15,9,8,8
14,10,10,6,12
8,10,13,8,7
12,11,6,8,10
7,10,12,7,8
10,11,14,11,12
7,6,13,7,13
10,13,15,13,7
15,9,8,8,12
9,8,11,11,7
15,11,8,7,8
7,9,10,13,15
10,14,10,8,6
9,11,6,13,7
11,10,14,6,14
8,11,11,12,7
12,8,12,12,11
10,6,11,6,13
15,10,6,11,6
12,11,10,13,6
6,12,13,10,11
10,6,6,10,12
6,15,10,9,12
6,10,7,10,14
9,12,6,12,12
12,8,12,15,6
12,7,11,7,8
15,9,9,7,11
10,13,15,13,14
7,10,15,9,10
15,7,7,11,10
10,10,14,10,7
8,9,14,11,10
10,7,6,10,11
11,10,8,7,10
15,12,6,11,13
10,8,13,6,10
8,9,6,14,12
13,9,12,15,9
14,8,13,15,15
8,15,15,15,14
14,13,13,9,12
11,12,13,9,9
6,13,6,13,12
12,12,14,12,15
9,11,10,10,10
13,12,8,13,10
11,9,12,14,12
12,6,8,6,13
6,8,12,11,8
13,9,11,7,13
6,6,6,13,12
11,13,7,6,14
14,12,9,8,6
13,7,12,10,8
9,6,8,13,7
14,7,14,9,7
13,8,11,9,13
13,11,10,7,7
12,14,13,10,14
12,10,11,8,13
9,14,15,12,10
9,6,6,14,6
11,9,6,8,14
11,15,12,14,12
10,6,10,8,13
10,7,13,9,13
12,13,11,13,6
13,12,12,8,9
6,10,10,8,13
13,10,10,14,15
9,14,9,9,15
7,7,9,12,10
6,11,15,9,8
6,11,6,10,7
13,10,14,11,14
11,12,13,9,12
8,13,13,6,7
7,11,14,14,9
14,7,6,11,9
14,10,10,6,15
6,13,14,7,13
10,12,6,9,6
